#separator:tab
#html:true
#columns:Hanzi	Pinyin	English	Breakdown	Examples	Note	Context	Hint	Link	Tags
#tags column:10
那个	nà ge	um / uh	那 (that) 个 (measure)	那个……我刚刚要说什么来着？ / Uh… what was I about to say?		spoken filler		https://www.mdbg.net/chinese/dictionary?wdqb=%E9%82%A3%E4%B8%AA	conversation-glue filler production-ready
怎么说呢	zěn me shuō ne	how should I put it	怎 (how) 么 (suffix) 说 (say) 呢 (modal)	他这个人嘛，怎么说呢，挺有意思的。 / This guy, how should I put it… he’s quite interesting.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%80%8E%E4%B9%88%E8%AF%B4%E5%91%A2	conversation-glue filler production-ready
就是说	jiù shì shuō	what I mean is / that is to say	就 (emphasis) 是 (be) 说 (say)	就是说，你不同意这个方案？ / So what you mean is, you don’t agree with this plan?				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%B0%B1%E6%98%AF%E8%AF%B4	conversation-glue clarification production-ready
我想想	wǒ xiǎng xiǎng	let me think	我 (I) 想 (think)	我想想，上次见他好像是去年的事了。 / Let me think, last time I saw him was last year.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E6%83%B3%E6%83%B3	conversation-glue filler production-ready
等一下	děng yí xià	hold on a sec	等 (wait) 一 (one) 下 (moment)	等一下，你刚才说的那个地方叫什么？ / Hold on, what was that place you mentioned?				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%AD%89%E4%B8%80%E4%B8%8B	conversation-glue production-ready
然后	rán hòu	and then	然 (so) 后 (after)	我们先吃饭，然后去看电影。 / We’ll eat first, and then go watch a movie.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%84%B6%E5%90%8E	conversation-glue connector production-ready
我觉得	wǒ jué de	I think	我 (I) 觉 (feel) 得 (particle)	我觉得你说的有道理。 / I think what you said makes sense.		casual default (vs 我认为)		https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E8%A7%89%E5%BE%97	conversation-glue opinion production-ready
我感觉	wǒ gǎn jué	I feel / I feel like	我 (I) 感 (sense) 觉 (feel)	我感觉这样做不太合适。 / I feel like doing it this way is not very suitable.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E6%84%9F%E8%A7%89	conversation-glue opinion production-ready
说实话	shuō shí huà	to be honest	说 (say) 实 (true) 话 (words)	说实话，我一开始觉得我学不会中文。 / To be honest, at first I thought I couldn’t learn Chinese.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%AF%B4%E5%AE%9E%E8%AF%9D	conversation-glue opinion production-ready
其实	qí shí	actually	其 (actually) 实 (truth)	其实我以前也不喜欢吃辣的。 / Actually, I didn’t use to like spicy food.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%85%B6%E5%AE%9E	conversation-glue connector production-ready
